Three bad names for a kitten,"Mr. Puppy|Spanish Flu|cumulonimbus 
Gerald|Stinky|Rabies 
Grapefruit|Cumulonimbus|Ol' Fungus Foot",no,no
"Need to calm down after an argument? Just <BLANK>, then <BLANK>, and <BLANK>","light candles|pour tea|bury your rage 
inhale|exhale|expel 
stand up|breathe deep|leave the buffet",no,no
"So you’ve “totally read the Bible,” huh? Then name THREE characters from it.","Jesus|Jesus' friend|Jesus' mom 
God|is technically|three guys 
Doc|Biff|Marty",no,no
Three names that could either be for a dog or an adult toy,"Spot|Rex|Rabbit 
Powerdrive|Lightning|Mr. Happy 
Ruff Ruff|Sparky|Sir Barks-A-Lot",no,yes
"Bad news: they now take away your “cool card” if you like <BLANK>, <BLANK>, or <BLANK>","reading|writing|arithmetic 
books|movies|your parents 
cargo shorts|boat shoes|carrying a ""cool card""",no,no
Three things that probably won’t exist in twenty years,"bananas|polar bears|internet comments, hopefully 
elephants|rhinos|but T-Rex's are coming back 
pollution|anxiety|The Paw Patrol",no,no
Three things the worst couple you know always brings to dinner parties,"forks|good wishes|their poetry 
someone else's kids|stomach flu|a timeshare opportunity 
non-alcoholic wine|non-alcoholic beer|non-alcoholic Jagermeister",no,no
Three things on Vladimir Putin’s weekly shopping list,"eggs|milk|local government officials 
two planes|a dozen bombs|Ben & Jerry's ice cream 
camera|horse|no shirt",no,no
Three things you should NEVER leave in someone’s bathroom,"a review|your... you know|your phone number 
Christmas presents|Birthday presents|unless they never look there 
stray hairs|stray fingernails|stray teeth",no,no
"Three names of exercises in CrossFit, probably","knee blaster|the sweat maker|leg jellier 
mountain lifts|the strainsies|the near death experiences 
the credit card charger|the merch push|the friend shamer",no,no
The three big milestones Gen Z kids will experience,"love|laughter|rising oceans 
kids|travel|probably a meteor 
World War 3|Climate Change|mechanical werewolves",no,no
Three keywords that would most certainly pull up <ANYPLAYER> on the first page results,"nice|so nice|too nice, honestly 
smart|very smart|too smart for flattery 
bank|robbery|seriously, look it up",no,no
The three worst jobs in hell,"calculus teacher | data entry specialist | liverwurst tester 
Satan's masseuse | Satan's bathroom attendant | devil's advocate 
Twitter reader|bathroom licker|skunk sniffer",no,no
Three things that usually only happen after 3 AM,"late night diner orders|greasy eggs|heartburn 
vampires head back to crypts|werewolves start changing back|mummies just do their thing 
the streets quiet down|businesses close|the rats paaaaaartaaaay",no,no
"You could never date someone who <BLANK>, <BLANK> or <BLANK>","hates karaoke|eats unsalted peanuts|hates penguins 
licks their fingers|licks their mouth|licks anything. ewww 
hangs out the passenger side|of his best friend's ride|trying to holler at me",no,no
The three steps required to bake the worst loaf of bread,"preheat oven|mix dough|stir in old dental floss 
mix in yeast|mix in uranium|JK that's dangerous 
buy ingredients|mix thoroughly|pour directly in toilet",no,no
Three ways to take your next book club meeting up a notch,"a book about werewolves|a treasure map|a seventh bottle of wine! 
an alien abduction|an emergency appendectomy|nacho buffet 
audiobooks only|or TV shows|or just cancelling it",no,no
Three things that’ll melt your heart EVERY. DANG. TIME.,"kittens|puppies|the kitten puppy jamboree 
a baby's laugh|a romantic slow dance|i'm so lonely 
a romantic comedy|a romantic drama|a romantic horror film",no,no
The three unique things you offer the world are...,"a sense of humor|a great smile|some slamming haiku 
banana bread recipes|sourdough recipes|no, people are sick of those 
a shoulder to cry on|a shoulder to lean on|I only have two shoulders",no,no
The three steps to becoming TikTok famous,"download TikTok|become 20 years younger|do stuff 
find a song|dance|repeat 
see what people are doing|do that|but louder",no,no
"The nation’s top three internet searches, probably","singles in my area|singles outside my area|will a cat make me happy? 
are UFOs real|is Bigfoot real|am I real 
how to juggle|how to juggle chainsaws|emergency rooms near me",no,no
Three things that only get better with age,"cheese|wine|some sort of cheese wine 
old friends|old jokes|wait, no they don't 
kittens|puppies|whatever baby swans are called",no,no
Three ways to jazz up your boring old water,"oranges|cucumbers|rusty nails 
carbonate it|shake it|drown a town with it 
drink it on roller coaster|put a fish in it|drop a bottle rocket in it",no,no
"The world would be better if we had less <BLANK>, <BLANK>, and <BLANK>","war|crime|floppy chicken strips 
people|places|things 
reality shows|reality stars|reality",no,no
The three golden rules of the trampoline gym,"no double bouncing|socks on|you break it you buy it 
don't break anything|no suing|have fun 
no jumping with food|no jumping with drinks|no jumping with full bladder",no,no
What are the three things you need for the BEST. BACHELOR PARTY. EVER!!!???,"drinks|pals|a doctor on speed dial 
cigars|champagne|fluids 
cheap wine|a small bear|a strong survival instinct",yes,no
You know you’re about to have a bad day on Twitter if you see these three hashtags,"killerbees|#beeattack|#definitelynotabee 
death|#destruction|#softjazz 
asteroid|#gettingcloser|#bunkersale",no,no
Three flaws that should disqualify you from holding political office,"loves to lie|hates citizens|addicted to money 
can't do math|won't read|allergic to science 
sounds annoying|smells bad|tastes delicious",no,no
The top three crimes committed in mermaid society,"piracy|ship wrecking|wet murder 
whaling|sharking|catfishing 
stealing lobsters|kidnapping squids|forging tuna",no,no
Three ways to “make love” without physical contact,"intense stares|severe smiles|hardcore winks 
write them a poem|sing them a song|build them a ham 
whisper secrets|shout declarations|sing dirty words",no,yes
The three steps to bringing back the dinosaurs,"buy a lizard|feed him a lot|now feed him more 
buy cake|throw welcome back party|hope they show up 
tell kids they're not cool|tell them you forbid them|hear dinosaur roar in basement",no,no
"After the first seven, what are the next three deadly sins?","messiness|poor manners|finger smelling 
apathy|disinterest|being too cool for school 
bad dresser|clumsiness|kind of a jerk",no,no
She’s amazing! ...but what three roles would challenge even Meryl Streep?,"Batman|the Lone Ranger|some lady named Sophie 
a mean lady|an unpleasant woman|someone I'm not in love with 
Deadpool|Pikachu|Blake Lively's husband",no,no
Three deep thoughts a sloth has on an average day,"I love this branch | could stay here all day | yes, I think I will 
snakes on the ground |need to poop | I can hold it 
what day is it?|Wednesday?|whoops, now it's Thursday",no,no
The top three subjects in sad country songs,"wife left me | she took the dog | and my Chevy pickup 
whiskey | rain | drinking whiskey in the rain 
truck problems|money problems|boot/hat problems",yes,no
The three main goals in your first term as Ruler of Earth,"get a really cool throne|send enemies into space|free ice cream for all 
outlaw birds|hate the silence|DNA engineer new birds 
make every day Tuesday|name everyone Tony|free Showtime for everybody",no,no
The three stupidest accessories to force your dog to wear,"nose ring|bangle bracelets|diving watch 
a sailor hat|a sailor suit|inflatable Popeye arms 
a cat costume|roller skates|I'm With Stupid shirt",no,no
Three Wi-Fi networks you do not want to connect to,"TakeMyWiFi|ManAndWiFi|MyWIFI!!! (in Borat voice) 
Russian_Hackerz|StealinData|PerfectlySafeWiFi 
TheWhiteHouse|Penta_Gone|TreasonRus",no,no
Three internet searches you need to clear IMMEDIATELY,"drugs|drug money|Sexy Spongebob 
how to tell if dead?|where to hide body|new identity 
should I crime?|best places to crime|how to do 2nd crime",no,no
Three things you can be besides talented,"rich|pretty|confident 
depressed|angry|a mannequin 
tall|interesting|an influencer",no,no
The first three events in the Mom Decathlon,"Kid Pickup|Dish Toss|Power Nap 
Laundry Lunge|Supermarket Sweep|vaulting the patriarchy 
Zoom meeting|De-stress|guilt kids into chores",no,no
The three rudest things to microwave at work,"tin foil|tuna casserole|Iron Man 
fish|fermented vegetables|stink meat 
old fries|stale burritos|unpoppable-corn",no,no
Three things a cowboy would say besides “Howdy”,"y'all|go on|horse 
spittoon|g'day|rattler 
stampede!|cattle rustlers|i'm emotionally distant",yes,no
The names of three “long-lost” Kardashians,"Kevin|Klayton|Paul 
Kymberlin|Katie|Kale 
Larry|Curly|Moe",yes,no
The three names they thought up before landing on “Dress Barn”,"Blouse Corral|Pants Field|Skirt Silo 
The Frill World|Pleat Street|The Skirt Locker 
Gown Town|The Garmentarium|Attire Fire",yes,no
The three worst two-word texts you could receive,"You up?|Miss You|I'm Dead 
Bees here|Bees everywhere|Lost bees 
Love you|Wait, sorry|Like you",no,no
The three most satisfying things to scream from a mountaintop,"I'm king of the world|Yippie-Ki-Yay|I'm pregnant 
I'm free|I love you|I lost my contact 
Sarah!|The truth is out there|Riiiiiiicola!",no,no
Three words that can describe both a person and a pair of jeans,"skinny|relaxed|boyfriend 
small|stiff|stone-washed 
boot cut|high-wasted|worn-out",no,no
Three things you should never stuff a taco with,"regret|spent uranium|cilantro 
dead bugs|live bugs|unless you like it 
gummy bears|gummy worms|just avoid ""gummy"" altogether",no,no
Three things they discourage you from doing in the Grand Canyon,"yelling ""poopie""|taking rocks home|filling it in with cement 
calling it ""The Great Canyon""|telling kids Santa lives here|throwing pennies in 
calling your burro ""a donkey""|acting unimpressed|acting like you don't see it",yes,no
The three things we all need to do to save planet Earth,"eat less meat|use less gas|give up after a couple of days 
plant more trees|let them grow|see if they have ideas 
have a big concert|raise a lot of money|buy a new planet",no,no
Three things all historians will remember the 21st century for,"Twitter fights|hard seltzer|the robot uprising 
Earth getting ruined|settling Mars|Mars getting ruined 
the end of baseball|the end of hockey|the emergence of hockball",no,no
Three rejected games for The Price Is Right,"Eat the Bugs!|Wrestle Drew Carey For A TV|Spay or Neuter? 
Skin Tag Scramble|Toilet Trials|Lick the Wheel 
Four Hour Plinko|Snake Catch|Bench Press For $$$",yes,no
"Three words that are only funny to you guys, apparently","squeeze|flarp|toodles 
howdy|bonjour|decorum 
stinky|boogers|Belgium",no,no
The three lamest super powers would be...,"garbage vision|sonic farts|partial invisibility 
mom telekinesis|light floating|cilantro sensitivity 
super strong toes|ability to talk to moss|super fast coupon clipper",no,no
The top three things your parents lied to you about,"drugs|alcohol|happiness 
how they met|how you were conceived|how much the car cost 
their trip to New Mexico|the UFO|where you came from",no,yes
The three things you demand of any lover,"a nice smile|a good attitude|a large inheritance 
a sense of humor|a gentle heart|a willingness to bury evidence 
a love of art|a love of my art|a love of my clown art",no,yes
"Forget food, water and shelter. The three things you need to survive are...","long naps|puppy photos|no judgment 
cheap beer|cheap meat|cheap cardiologists 
a magic amulet|a sassy, talking zebra|a nose for adventure",no,no
Three things you’ll probably never hold in your hand,"the holy grail|no wait, that's the holy grail|I chose poorly 
One million dollars|A dinosaur egg|The respect of my father 
A giant diamond|A formula for endless energy|the perfect slice of pizza",no,no
Three things currently in the US President’s pocket,"a watch|keys|nuclear codes 
a handkerchief|ten dollars|country's to-do list 
a cough drop|seven nickels|keys to the White House",yes,no
"When you think about it, there are ONLY three emotions. They are...","anger|sadness|a combo of 1 and 2 
hungry|thirsty|gassy 
angry|apologetic|ready to get angry again",no,no
The only three things in life worth getting mad about,"sports|taxes|slight changes to superheros 
a Twitter fight|the government|the similarity of #1 and #2 
cold weather|hot weather|only have weather to talk about",no,no
Three things EVERYONE can agree on these days,"roses are red|violets are blue|close your mouth when you chew 
fire is hot|water is wet|these will be debated soon 
nobody|agrees|anymore",no,no
The three most common things people scream while skydiving out of a plane,"Never again!|This was a mistake!|I'm referring to my marriage! 
Stupid gravity!|I hate air!|Birds are overrated 
Come Fly with Me|Free Bird|All the Single Ladies",no,no
Three weird fashion trends that’ll never catch on,"pantsless pants|shirtless shirts|skorts 
combustible hats|meat scarves|cargo shorts 
belly button bowties|nose socks|extra sleeves",no,no
Three really ineffective safe words,"good|great|love it 
Daniel|Day|Lewis 
hmmmm|ok|sure",no,yes
The three best birthday gifts for a very sad man,"tissues|hankies|an imaginary friend 
a new phone|a phone stand|a promise to call 
a cactus|a cat|a mannequin to talk to",no,no
The three worst materials to build your house out of,"cotton candy|gum|good wishes 
hay|sticks|staples 
love|hate|asbestos",no,no
Three terrible names for a new cereal brand,"Regular Flakes|No Pops|Unlucky Charms 
Fiber Plus|Bran-tastic|Too Many Oats 
Milk Friends|Bowl Pals|Spoon Chums",no,no
Three other places to shout “I object!” besides a courtroom,"Waiting in supermarket line|Stepdad's house|DUI test 
In a crowded elevator|In a bully's headlock|In a non-smoking zoo 
At the end of a bad movie|In an expensive restaurant|While getting married",yes,no
Three Chevy car models recalled for being “too awesome”,"The Rocket|The Hammer|The Overcompensater 
The Jewel|The Diamond|The Super Camaro 
The Good Car|The Better Car|The Best Car",yes,no
Three things you’ll find at the Queen’s yard sale,"crown|throne|perfectly good sweater 
rugs|silverware|Scotland 
motorcycle|ripped jeans|DJ turntables",no,no
The three things you have to do as Darth Vader’s intern,"get coffee|clean helmet|crush the rebellion 
dry clean cape|pick up donuts|oil mechanical parts 
wash his spaceship|schedule appointments|repair relationship with kids",no,no
Three skateboard tricks you should NEVER try,"The Face Planter|The Knee Exploder|The Sudden Death 
The Tooth Loosener|The Concrete Meeter|The Bone Buster 
The Hurt Locker|The Time Traveler|The Cute Kitten",no,no
"There are three types of people in the world: <BLANK>, <BLANK>, and <BLANK>","Single people|People in relationships|Guys that own a tarantula 
Non-conspiracy theorists|Conspiracy theorists|Lizard people 
winners|losers|werewolves?",no,no
The three steps to surgically removing your own appendix,"Find your sharpest steak knife|Down a bottle of whiskey|Mutter ""here goes nothing"" 
Poke around in your guts|Yank out your appendix|Realize that was your spleen 
Read book|Chicken out|Hope it all works out",no,no
Three rejected chicken nugget shapes,"hot dogs|the Sphinx|a sad turtle 
fruit|vegetables|a map of Middle Earth 
big butts|little butts|any butt, really",no,no
Three things a robot will need to master before they can be “human”,"being happy|being sad|crying at random commercials 
constantly being late|making up lame excuses|wondering why you got fired 
driving in rush hour traffic|getting mad at another driver|letting that ruin your day",no,no
Three things to put on your wall to show how manly you are,"Beer cans|deer head|ten Reservoir Dogs posters 
road signs|jerseys|loose protein powder 
a weight bench|Y chromosomes|repressed emotions",no,no
Yeehaw! What’re three things a good rodeo dang sure oughta have?,"cool cows|big hats|chasing clowns 
popcorn|peanuts|meat of unknown origin 
the smell of fried food|the smell of manure|the smell of belt buckles",yes,no
Three things you’ll find in your aunt’s bathroom... RIGHT NOW,"sea shells|painting of a boat|skull of a drowned sailor 
toilet|toilet paper|but single ply! 
potpourri|potpourri soap|potpourri toothpaste",no,no
Three things that instantly ruin a shirt,"chocolate|grape juice|catching on fire 
ink|paint|probably uranium 
drying on high|bleach|creating it in Tee K.O.",no,no
Three things one billion tickets will get you at the arcade prize counter,"nice erasers|a snap bracelet|the US Presidency 
the stuffed tiger|the SpongBbob T-Shirt|a million finger puppets 
a sports car|a three bedroom condo|an appendectomy",yes,no
"Wanna win the Kentucky Derby? The best horse trainers never let their horses <BLANK>, <BLANK>, or <BLANK>","drink booze|eat cheeseburgers|subscribe to Netflix 
take wide turns|start late|bet on the other horses 
get cocky|smack talk|believe its own hype",yes,no
Three odd outfit choices for a horror movie slasher to wear,"three piece suit|ball gown|rented tuxedo 
just jeans|just a shirt|just socks 
cowboy hat|pirate hat|beret",no,no
Three items you always see in the background of adult films,"don't know|never seen them|I swear 
boom mic|camera reflection|camera man's thumb 
fake dorm room|fake classroom|fake graduation ceremony",no,yes
"Based on your deeds, the three most likely things you’ll be reincarnated as in your next life","a beer fridge | reclining lounge chair | Nintendo Switch 
a turtle|a snail|maybe a unicorn 
a squirrel|a bat|the world's first bat-squirrel",no,no
The three gifts every dad secretly wants for Father’s Day,"bacon|meat|bacon-wrapped meat 
a sports hat|a sports shirt|sports in a pill 
a #1 dad mug|a #1 dad tie|a place to cry",yes,no
The three terms the cool kids are using for constipation these days,"butt blocks|no goes|hard times 
anti-diarrhea|log jams|pushies 
ouchers|strainers|eye-bulgers",no,no
"Three extracurricular activities at a really, really, really rich high school","Competitive Investing|Dressage|Art Acquisition 
Jewel Cleaning|Money Laundering|Baseball Team Ownership 
Butler Berating|Stock Market Watch Party|Pampering 101",yes,no
Three signs that your neighbor is upset with you,"Tall fence|angry looks|late night bagpipe practice 
dog poop on yard|dog poop on steps|dog poop in mailbox 
moves away|but still drives by|and says ""you stink""",no,no
Three things your body does when you meet the love of your life,"heart races|breathing quickens|all hair falls out 
sweaty palms|knees shake|can't stop screaming 
pulse quickens|hands numb|this is a heart attack",no,no
Three ways of perking yourself up when coffee isn’t enough,"nipple clamps|butt clamps|eyeball clamps 
rousing game of Stratego|getting kicked in the crotch|meth 
horse steroids|shark blood|a good breakfast",no,yes
"My high school gym teacher taught me three things: <BLANK>, <BLANK>, and <BLANK>","jump|run|fake injuries 
clear eyes|full heart|we lost sometimes 
math|science|our school was underfunded",yes,no
The three lessons we learned today,"eat right|get 8 hours of sleep|dumb answers win 
wash your face|brush your teeth|hide the money in the yard 
Callbacks|always|win",no,no
The three words that best describe your current mental state,"Too|many|chips 
Sad|Angry|Hungry 
A|bit|gassy",no,no
Three things you’ll find in any fanny pack,"sunscreen|mint chewing gum|zero dignity 
sunglasses|hard candy|a theme park map 
lotion|more lotion|even. more. lotion.",no,no
Three qualities that make a man “marriage material”,"goes to church|has a truck|loves his mama 
tall|dark|handserm 
must love dogs|must love hogs|must wear clogs",no,no
The last three words you’ll say before you die,"I|love|cheese 
I'm|coming|Abe Lincoln 
ew|gross|no",no,yes
Three reasons you ain’t getting into heaven,"sinning|every|day 
stole chapstick|stole a pen|murder 
parking tickets|speeding tickets|caused climate change",no,yes
Three things that will happen on the best day of your life,"ride a rollercoaster|have a baby|eat soft cheese 
kill my enemy|dance on his grave|forgive myself 
find cash|buy lottery ticket|get real close to winning",no,no
The three items you’ll find in the devil’s purse,"wallet|phone|gum 
flames|coal|cell phone 
souls|sins|dirty mags",no,no
The three things that would concern you if they showed up in your dreams,"a giant duck|that knows my name|and is my dad? 
a mannequin|a talking chainsaw|a unicorn with my face 
a werewolf|a Frankenstein|a chorus line of Draculas",no,no
Three things that’ll put you right to sleep,"warm milk|soothing music|five seconds of public radio 
a warm bed|a fluffy pillow|a cartoon knock on the head 
a hypnotist|a car ride|a 12 part WWII doc",no,no
The three things you see right before you die,"someone pointing|a gigantic bird|hungry baby birds 
an angel|Elvis|God and He's mad 
your childhood|your adulthood|the people you disappointed",no,yes
Three things that’ll make you grunt,"heavy lifting|a punch in the gut|a cheap bike seat 
a pig impression|swallowing a quarter|passing that quarter 
bad gas|good gas|someone else's gas",no,no
Three words that could describe your family or a bowel movement,"pushy|uptight|clingy 
hard working|old fashioned|well-meaning 
loosey-goosey|ill-tempered|large",no,no
Three words that could describe the circus or your dad,"intense|nightmarish|tiger-filled 
tent-loving|peanut-scented|overpriced 
archaic|cruel|organ-filled",no,no
Three things you might yell if you’re drunk or have children,"you don't know me|please don't hit me|did you pee? 
where are your shoes?|why are you crying|we're leaving the zoo 
stop kicking|free bird!|I love you",no,no
"Three things that when you see them, you can’t un-see them","surgery footage|a car wreck|those Chipmunk movies 
a cow giving birth|colonoscopy footage|Batman vs Superman 
a subway rat|a hundred subway rats|subway rats in a trenchcoat",no,no
The three worst things to suddenly feel on your shoulder,"bird poop|a lizard|a pimple growing 
a hawk|a bee sting|probably a ghost 
a ghost hand|an angry wasp|hot breath",no,no
"When going through airport security, make sure to remove your <BLANK>, <BLANK>, and <BLANK>","rings|earrings|ring worms 
shoes|hats|hand puppets 
liquids|gels|anything in between",no,no
Three easy ways to look tough,"Flex aggressively|Scream for no reason|Wear a horn helmet 
Crush soda cans on your head|Get some cool scars|tattoo that says ""Very Tough"" 
Ride a motorcycle|Ride a bear|Ride a bear on a motorcycle",no,no
Follow these three survival tips if you’re lost in the wild,"Panic|Run around the woods screaming|Cry like a baby 
Find a pack of wolves|Defeat the alpha wolf|You are the wolf king now 
Start a fire|Boil water|Open small coffee shop",no,no
Three names a kid can call their grandpa other than “grandpa”,"peepoo|dad's dad|the oldster 
grampgramp|pawpamp|mega dad 
silly man|candy giver|gray skull",no,no
"My mom won’t call it a “butt.” She calls it <BLANK>, <BLANK>, or <BLANK>","bumper|caboose|ham sandwich 
rear end|back end|tragic ending 
beauty|perfection|the holy grail",no,no
The three things in your “happy place”,"unlimited pizza|unlimited chicken wings|unlimited antacid 
football pre-game shows|football|football post-game shows 
nothing|but|ice cream",no,no
Three things the world will be dealing with next year that nobody would predict,"bird attack|alien invasion|return of Gangnam Style 
goose storms|cheese lightning|global humming 
toot disease|intelligent hamsters|pudding rain",no,no
Three weird things to make out of wood,"socks|a hat|boxer briefs 
false teeth|a false chin|a false head 
a laptop|a family sedan|memory foam mattress",no,no
"It’s not your WORST nightmare until there’s <BLANK>, <BLANK>, and finally <BLANK>","a clown|a hatchet|an abandoned hotel 
gym class|a ceiling rope|hundreds of people waiting 
an ostrich|my stepdad|a get-rich-quick scheme",no,no
Three new terms for the word “orgasm”,"blast off|bingo|wowza 
jackpot|the bounce house|prime time 
touchdown|home run|hat trick?",no,yes
The three signs that you might be pure evil are...,"you hate kids|you hate dogs|you like smooth jazz 
holy water stings|crosses sting|brimstone is fine though 
you levitate|misery gives you strength|you're always on fire",no,no
Three things you’d change about Superman to make him more relatable,"no powers|no job|wait, that's me 
give him a new costume|like a bat|but like, a rich bat 
has student loans|has a dead end job|loves hard seltzers",no,no
"Three secrets this group, you, right here, are hiding from each other","we're allergic to nuts|we're allergic to cheese|we're allergic to each other 
nothing|we're open books|except im an undercover spy 
we're actually bears|in people clothes|roar",no,yes
Three job titles that sound too good to be true,"cookie tester|president of napping|money spender 
vice-president of snoozing|mayor of cake town|CEO of cheese 
Video game tester|Exercise avoider|Roller coaster pilot",no,no
What is the world’s saddest three-word story?,"Out|Of|Guac 
Pooped|My|Pants",no,no
"The three hottest trends of the summer will be <BLANK>, <BLANK>, and <BLANK>","being outdoors|growing long hair|becoming a sasquatch 
missing spring|missing autumn|not missing winter 
buying telescopes|forgetting abt telescopes|selling telescopes",no,no
The three most important rules of your own private tickle club,"no pictures|no fake laughs|no real names 
must participate|must laugh|must be ticklish 
no shirt|no shoes|that's it",no,no
"The three things you better not bring to a knife fight, chump","a spoon|a sword|bad attitude 
a weak stomach|a dull knife|hemophilia 
a gun|unless it shoots knives|no that's still illegal",no,no
The three things your dating profile pic better have if you want some lovin’,"a tiger|a mullet|a Netflix deal 
a fancy car|a gold chain|lack of humility 
an eagle on my shoulder|an explosion behind me|a permit to do these things",no,no
The original first three words of the Bible,"Whoa!|Total|darkness 
What|to|do? 
Start|this|party!",no,no
The three words that should never appear in the same sentence,"pass|the|spleen 
charity|compassion|xenomorph 
shave|me|grandma",no,no
The three most surprising things hidden under sofa cushions,"missing pants|human soul|chicken sandwich 
your last sofa | coins hidden in second sofa | sandwich 
a mobster|a dead body|cash to forget what you saw",no,no
The three steps to a perfect surgery,"cut|copy|paste 
greet the body|slice the body|heal the body 
chug a Red Bull|watch an ER rerun|just feel it",no,no
"According to old people, the only three things young people do these days",Facebook|Instagram|invent new ways to disrespect,no,no
The three steps to having a successful makeout session,"put on chill music|be emotionally available|try to have fun 
